"grn_id","po_id","pr_id","plan_id","material_id","vendor_id","po_qty","received_qty","open_qty","expected_receipt_date","actual_grn_date","erp_visible_to_planner","visibility_issue_reason"
"GRN-0071","PO-0071","PR-0068","PLAN-007","PWR-CAB-USB","V-ORBIT-PARTS","314","282","32","2026-05-28","2026-05-28","Y","normal receipt update"
"GRN-0072","PO-0072","PR-0069","PLAN-007","PKG-LBL-QC","V-MEKONG-PACK","412","144","268","2026-05-17","2026-05-22","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0073","PO-0073","PR-0070","PLAN-007","SCR-M2-04","V-ORBIT-PARTS","1818","1636","182","2026-05-19","2026-05-19","Y","normal receipt update"
"GRN-0074","PO-0074","PR-0071","PLAN-007","PKG-CTN-7","V-MEKONG-PACK","464","162","302","2026-05-21","2026-05-28","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0075","PO-0075","PR-0072","PLAN-008","PCB-MAIN-01","V-NOVA-PCB","500","450","50","2026-05-30","","Y","normal receipt update"
"GRN-0076","PO-0076","PR-0073","PLAN-008","PWR-ADP-12V","V-ORBIT-PARTS","500","175","325","2026-05-28","2026-06-02","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0077","PO-0077","PR-0074","PLAN-008","CAS-AL-2","V-ALPHA-CASING","650","227","423","2026-05-30","2026-06-05","N","GRN updated late or open PO not visible to planner during MRP run"
"GRN-0078","PO-0078","PR-0075","PLAN-008","SEN-TEMP-01","V-FUTURE-SENSOR","1250","1125","125","2026-06-01","2026-06-01","Y","normal receipt update"
"GRN-0079","PO-0079","PR-0076","PLAN-008","THM-PAD-01","V-ORBIT-PARTS","339","305","34","2026-06-03","2026-06-03","Y","normal receipt update"
"GRN-0080","PO-0080","PR-0076","PLAN-008","THM-PAD-01","V-ORBIT-PARTS","338","118","220","2026-06-01","","N","GRN updated late or open PO not visible to planner during MRP run"
