"consumption_id","plan_id","week_start","material_id","consumed_qty","issue_source","line"
"CON-0068","PLAN-007","2026-05-13","PWR-CAB-USB","301","ERP","SMT-A"
"CON-0069","PLAN-007","2026-05-13","PKG-LBL-QC","395","ERP","SMT-A"
"CON-0070","PLAN-007","2026-05-13","SCR-M2-04","1745","ERP","SMT-A"
"CON-0071","PLAN-007","2026-05-13","PKG-CTN-7","304","ERP","SMT-A"
"CON-0072","PLAN-008","2026-05-20","PCB-MAIN-01","480","ERP","SMT-A"
"CON-0073","PLAN-008","2026-05-20","PWR-ADP-12V","480","ERP","SMT-A"
"CON-0074","PLAN-008","2026-05-20","CAS-AL-2","426","ERP","SMT-A"
"CON-0075","PLAN-008","2026-05-20","SEN-TEMP-01","960","ERP","SMT-A"
"CON-0076","PLAN-008","2026-05-20","THM-PAD-01","649","ERP","SMT-A"
"CON-0077","PLAN-008","2026-05-20","PKG-CTN-7","359","ERP","SMT-A"
"CON-0078","PLAN-008","2026-05-20","PCB-IO-02","412","ERP","SMT-A"
"CON-0079","PLAN-008","2026-05-20","SCR-M2-04","1648","ERP","SMT-A"
"CON-0080","PLAN-008","2026-05-20","CAS-PL-1","388","ERP","SMT-A"
"CON-0081","PLAN-008","2026-05-20","PCB-MAIN-01","373","ERP","SMT-A"
"CON-0082","PLAN-008","2026-05-20","SEN-TEMP-01","373","ERP","SMT-A"
"CON-0083","PLAN-008","2026-05-20","PWR-CAB-USB","373","ERP","SMT-A"
"CON-0084","PLAN-009","2026-05-27","PKG-LBL-QC","1266","ERP","SMT-A"
"CON-0085","PLAN-009","2026-05-27","THM-PAD-01","621","ERP","SMT-A"
"CON-0086","PLAN-009","2026-05-27","PCB-IO-02","465","ERP","SMT-A"
"CON-0087","PLAN-009","2026-05-27","SCR-M2-04","3723","ERP","SMT-A"
"CON-0088","PLAN-009","2026-05-27","PKG-CTN-7","405","ERP","SMT-A"
"CON-0089","PLAN-009","2026-05-27","CAS-PL-1","575","ERP","SMT-A"
"CON-0090","PLAN-009","2026-05-27","PWR-CAB-USB","552","ERP","SMT-A"
"CON-0091","PLAN-009","2026-05-27","PWR-ADP-12V","552","ERP","SMT-A"
"CON-0092","PLAN-009","2026-05-27","PKG-LBL-QC","1048","ERP","SMT-A"
"CON-0093","PLAN-009","2026-05-27","SEN-HUM-02","514","ERP","SMT-A"
"CON-0094","PLAN-010","2026-06-03","SCR-M2-04","3142","ERP","SMT-A"
"CON-0095","PLAN-010","2026-06-03","PKG-CTN-7","456","ERP","SMT-A"
"CON-0096","PLAN-010","2026-06-03","PCB-MAIN-01","368","ERP","SMT-A"
"CON-0097","PLAN-010","2026-06-03","PWR-ADP-12V","368","ERP","SMT-A"
"CON-0098","PLAN-010","2026-06-03","CAS-AL-2","327","ERP","SMT-A"
"CON-0099","PLAN-010","2026-06-03","PWR-CAB-USB","368","ERP","SMT-A"
"CON-0100","PLAN-010","2026-06-03","PKG-LBL-QC","465","ERP","SMT-A"
"CON-0101","PLAN-010","2026-06-03","SCR-M2-04","2085","ERP","SMT-A"
"CON-0102","PLAN-010","2026-06-03","PKG-CTN-7","363","ERP","SMT-A"
"CON-0103","PLAN-011","2026-06-10","PCB-MAIN-01","432","ERP","SMT-A"
"CON-0104","PLAN-011","2026-06-10","PWR-ADP-12V","432","ERP","SMT-A"
"CON-0105","PLAN-011","2026-06-10","CAS-AL-2","383","ERP","SMT-A"
"CON-0106","PLAN-011","2026-06-10","SEN-TEMP-01","863","ERP","SMT-A"
"CON-0107","PLAN-011","2026-06-10","THM-PAD-01","552","ERP","SMT-A"
"CON-0108","PLAN-011","2026-06-10","PKG-CTN-7","317","ERP","SMT-A"
"CON-0109","PLAN-011","2026-06-10","PCB-IO-02","363","ERP","SMT-A"
"CON-0110","PLAN-011","2026-06-10","SCR-M2-04","1454","ERP","SMT-A"
"CON-0111","PLAN-011","2026-06-10","CAS-PL-1","337","ERP","SMT-A"
"CON-0112","PLAN-011","2026-06-10","PCB-MAIN-01","325","ERP","SMT-A"
"CON-0113","PLAN-011","2026-06-10","SEN-TEMP-01","325","ERP","SMT-A"
"CON-0114","PLAN-011","2026-06-10","PWR-CAB-USB","325","ERP","SMT-A"
"CON-0115","PLAN-012","2026-06-17","PKG-LBL-QC","930","ERP","SMT-A"
"CON-0116","PLAN-012","2026-06-17","THM-PAD-01","456","ERP","SMT-A"
"CON-0117","PLAN-012","2026-06-17","PCB-IO-02","301","ERP","SMT-A"
"CON-0118","PLAN-012","2026-06-17","SCR-M2-04","2404","ERP","SMT-A"
"CON-0119","PLAN-012","2026-06-17","PKG-CTN-7","262","ERP","SMT-A"
"CON-0120","PLAN-012","2026-06-17","CAS-PL-1","403","ERP","SMT-A"
"CON-0121","PLAN-012","2026-06-17","PWR-CAB-USB","387","ERP","SMT-A"
"CON-0122","PLAN-012","2026-06-17","PWR-ADP-12V","387","ERP","SMT-A"
"CON-0123","PLAN-012","2026-06-17","PKG-LBL-QC","712","ERP","SMT-A"
"CON-0124","PLAN-012","2026-06-17","SEN-HUM-02","349","ERP","SMT-A"
"CON-0125","PLAN-013","2026-06-24","SCR-M2-04","2880","ERP","SMT-A"
"CON-0126","PLAN-013","2026-06-24","PKG-CTN-7","418","ERP","SMT-A"
"CON-0127","PLAN-013","2026-06-24","PCB-MAIN-01","325","ERP","SMT-A"
"CON-0128","PLAN-013","2026-06-24","PWR-ADP-12V","325","ERP","SMT-A"
"CON-0129","PLAN-013","2026-06-24","CAS-AL-2","288","ERP","SMT-A"
"CON-0130","PLAN-013","2026-06-24","PWR-CAB-USB","325","ERP","SMT-A"
"CON-0131","PLAN-013","2026-06-24","PKG-LBL-QC","420","ERP","SMT-A"
"CON-0132","PLAN-013","2026-06-24","SCR-M2-04","1867","ERP","SMT-A"
"CON-0133","PLAN-013","2026-06-24","PKG-CTN-7","325","ERP","SMT-A"
"CON-0134","PLAN-014","2026-07-01","PCB-MAIN-01","504","ERP","SMT-A"
"CON-0135","PLAN-014","2026-07-01","PWR-ADP-12V","504","ERP","SMT-A"
