"po_id","pr_id","plan_id","po_date","material_id","vendor_id","po_qty","unit_price","target_price","emergency_flag","approved_by","approval_note"
"PO-0072","PR-0069","PLAN-007","2026-05-03","PKG-LBL-QC","V-MEKONG-PACK","412","0.18","0.18","N","Purchasing Manager",""
"PO-0073","PR-0070","PLAN-007","2026-05-04","SCR-M2-04","V-ORBIT-PARTS","1818","0.025","0.025","N","Purchasing Manager",""
"PO-0074","PR-0071","PLAN-007","2026-05-05","PKG-CTN-7","V-MEKONG-PACK","464","0.82","0.82","N","Purchasing Manager",""
"PO-0075","PR-0072","PLAN-008","2026-05-13","PCB-MAIN-01","V-NOVA-PCB","500","18.5","18.5","N","Purchasing Manager",""
"PO-0076","PR-0073","PLAN-008","2026-05-10","PWR-ADP-12V","V-ORBIT-PARTS","500","6.9","6.9","N","Purchasing Manager",""
"PO-0077","PR-0074","PLAN-008","2026-05-11","CAS-AL-2","V-ALPHA-CASING","650","7.1","7.1","N","Purchasing Manager",""
"PO-0078","PR-0075","PLAN-008","2026-05-12","SEN-TEMP-01","V-FUTURE-SENSOR","1250","12.4","12.4","N","Purchasing Manager",""
"PO-0079","PR-0076","PLAN-008","2026-05-13","THM-PAD-01","V-ORBIT-PARTS","339","0.31","0.31","N","Purchasing Manager","split delivery slot"
"PO-0080","PR-0076","PLAN-008","2026-05-10","THM-PAD-01","V-ORBIT-PARTS","338","0.31","0.31","N","Purchasing Manager","split delivery slot"
"PO-0081","PR-0077","PLAN-008","2026-05-11","PKG-CTN-7","V-MEKONG-PACK","614","0.82","0.82","N","Purchasing Manager",""
"PO-0082","PR-0078","PLAN-008","2026-05-12","PCB-IO-02","V-NOVA-PCB","430","9.8","9.8","N","Purchasing Manager",""
"PO-0083","PR-0079","PLAN-008","2026-05-13","SCR-M2-04","V-ORBIT-PARTS","1717","0.025","0.025","N","Purchasing Manager",""
"PO-0084","PR-0080","PLAN-008","2026-05-10","CAS-PL-1","V-ALPHA-CASING","405","3.8","3.8","N","Purchasing Manager",""
"PO-0085","PR-0081","PLAN-008","2026-05-11","PCB-MAIN-01","V-NOVA-PCB","389","18.5","18.5","N","Purchasing Manager",""
"PO-0086","PR-0082","PLAN-008","2026-05-12","SEN-TEMP-01","V-FUTURE-SENSOR","487","12.4","12.4","N","Purchasing Manager",""
"PO-0087","PR-0083","PLAN-008","2026-05-13","PWR-CAB-USB","V-ORBIT-PARTS","389","1.25","1.25","N","Purchasing Manager",""
"PO-0088","PR-0084","PLAN-009","2026-05-17","PKG-LBL-QC","V-MEKONG-PACK","1557","0.212","0.18","Y","Purchasing Manager","urgent supply"
"PO-0089","PR-0085","PLAN-009","2026-05-18","THM-PAD-01","V-ORBIT-PARTS","764","0.366","0.31","Y","Purchasing Manager","urgent supply"
"PO-0090","PR-0086","PLAN-009","2026-05-19","PCB-IO-02","V-NOVA-PCB","573","11.564","9.8","Y","Purchasing Manager","urgent supply"
"PO-0091","PR-0087","PLAN-009","2026-05-20","SCR-M2-04","V-ORBIT-PARTS","4578","0.03","0.025","Y","Purchasing Manager","urgent supply"
"PO-0092","PR-0088","PLAN-009","2026-05-17","PKG-CTN-7","V-MEKONG-PACK","793","0.968","0.82","Y","Purchasing Manager","urgent supply"
"PO-0093","PR-0089","PLAN-009","2026-05-18","CAS-PL-1","V-ALPHA-CASING","707","4.484","3.8","Y","Purchasing Manager","urgent supply"
"PO-0094","PR-0090","PLAN-009","2026-05-19","PWR-CAB-USB","V-ORBIT-PARTS","680","1.475","1.25","Y","Purchasing Manager","urgent supply"
"PO-0095","PR-0091","PLAN-009","2026-05-20","PWR-ADP-12V","V-ORBIT-PARTS","680","8.142","6.9","Y","Purchasing Manager","urgent supply"
"PO-0096","PR-0092","PLAN-009","2026-05-17","PKG-LBL-QC","V-MEKONG-PACK","1289","0.212","0.18","Y","Purchasing Manager","urgent supply"
"PO-0097","PR-0093","PLAN-009","2026-05-18","SEN-HUM-02","V-FUTURE-SENSOR","767","16.756","14.2","Y","Purchasing Manager","urgent supply"
"PO-0098","PR-0094","PLAN-010","2026-05-26","SCR-M2-04","V-ORBIT-PARTS","3863","0.03","0.025","Y","Purchasing Manager","urgent supply"
"PO-0099","PR-0095","PLAN-010","2026-05-27","PKG-CTN-7","V-MEKONG-PACK","399","0.968","0.82","Y","Purchasing Manager","split delivery slot"
"PO-0100","PR-0095","PLAN-010","2026-05-24","PKG-CTN-7","V-MEKONG-PACK","398","0.968","0.82","Y","Purchasing Manager","split delivery slot"
"PO-0101","PR-0096","PLAN-010","2026-05-25","PCB-MAIN-01","V-NOVA-PCB","454","21.83","18.5","Y","Purchasing Manager","urgent supply"
"PO-0102","PR-0097","PLAN-010","2026-05-26","PWR-ADP-12V","V-ORBIT-PARTS","454","8.142","6.9","Y","Purchasing Manager","urgent supply"
"PO-0103","PR-0098","PLAN-010","2026-05-27","CAS-AL-2","V-ALPHA-CASING","571","8.378","7.1","Y","Purchasing Manager","urgent supply"
"PO-0104","PR-0099","PLAN-010","2026-05-24","PWR-CAB-USB","V-ORBIT-PARTS","509","1.475","1.25","Y","Purchasing Manager","urgent supply"
"PO-0105","PR-0100","PLAN-010","2026-05-25","PKG-LBL-QC","V-MEKONG-PACK","573","0.212","0.18","Y","Purchasing Manager","urgent supply"
"PO-0106","PR-0101","PLAN-010","2026-05-26","SCR-M2-04","V-ORBIT-PARTS","2563","0.03","0.025","Y","Purchasing Manager","urgent supply"
"PO-0107","PR-0102","PLAN-010","2026-05-27","PKG-CTN-7","V-MEKONG-PACK","634","0.968","0.82","Y","Purchasing Manager","urgent supply"
"PO-0108","PR-0103","PLAN-011","2026-05-31","PCB-MAIN-01","V-NOVA-PCB","450","18.5","18.5","N","Purchasing Manager",""
"PO-0109","PR-0104","PLAN-011","2026-06-01","PWR-ADP-12V","V-ORBIT-PARTS","450","6.9","6.9","N","Purchasing Manager",""
"PO-0110","PR-0105","PLAN-011","2026-06-02","CAS-AL-2","V-ALPHA-CASING","585","7.1","7.1","N","Purchasing Manager",""
"PO-0111","PR-0106","PLAN-011","2026-06-03","SEN-TEMP-01","V-FUTURE-SENSOR","1124","12.4","12.4","N","Purchasing Manager",""
"PO-0112","PR-0107","PLAN-011","2026-05-31","THM-PAD-01","V-ORBIT-PARTS","576","0.31","0.31","N","Purchasing Manager",""
"PO-0113","PR-0108","PLAN-011","2026-06-01","PKG-CTN-7","V-MEKONG-PACK","484","0.82","0.82","N","Purchasing Manager",""
"PO-0114","PR-0109","PLAN-011","2026-06-02","PCB-IO-02","V-NOVA-PCB","379","9.8","9.8","N","Purchasing Manager",""
"PO-0115","PR-0110","PLAN-011","2026-06-03","SCR-M2-04","V-ORBIT-PARTS","1697","0.025","0.025","N","Purchasing Manager",""
"PO-0116","PR-0111","PLAN-011","2026-05-31","CAS-PL-1","V-ALPHA-CASING","352","3.8","3.8","N","Purchasing Manager",""
"PO-0117","PR-0112","PLAN-011","2026-06-01","PCB-MAIN-01","V-NOVA-PCB","339","18.5","18.5","N","Purchasing Manager",""
"PO-0118","PR-0113","PLAN-011","2026-06-02","SEN-TEMP-01","V-FUTURE-SENSOR","424","12.4","12.4","N","Purchasing Manager",""
"PO-0119","PR-0114","PLAN-011","2026-06-03","PWR-CAB-USB","V-ORBIT-PARTS","170","1.25","1.25","N","Purchasing Manager","split delivery slot"
"PO-0120","PR-0114","PLAN-011","2026-05-31","PWR-CAB-USB","V-ORBIT-PARTS","169","1.25","1.25","N","Purchasing Manager","split delivery slot"
"PO-0121","PR-0115","PLAN-012","2026-06-08","PKG-LBL-QC","V-MEKONG-PACK","969","0.18","0.18","N","Purchasing Manager",""
"PO-0122","PR-0116","PLAN-012","2026-06-09","THM-PAD-01","V-ORBIT-PARTS","475","0.31","0.31","N","Purchasing Manager",""
"PO-0123","PR-0117","PLAN-012","2026-06-10","PCB-IO-02","V-NOVA-PCB","314","9.8","9.8","N","Purchasing Manager",""
"PO-0124","PR-0118","PLAN-012","2026-06-07","SCR-M2-04","V-ORBIT-PARTS","2505","0.025","0.025","N","Purchasing Manager",""
"PO-0125","PR-0119","PLAN-012","2026-06-08","PKG-CTN-7","V-MEKONG-PACK","400","0.968","0.82","Y","Purchasing Manager","urgent supply"
"PO-0126","PR-0120","PLAN-012","2026-06-09","CAS-PL-1","V-ALPHA-CASING","420","3.8","3.8","N","Purchasing Manager",""
"PO-0127","PR-0121","PLAN-012","2026-06-10","PWR-CAB-USB","V-ORBIT-PARTS","453","1.25","1.25","N","Purchasing Manager",""
"PO-0128","PR-0122","PLAN-012","2026-06-07","PWR-ADP-12V","V-ORBIT-PARTS","404","6.9","6.9","N","Purchasing Manager",""
"PO-0129","PR-0123","PLAN-012","2026-06-08","PKG-LBL-QC","V-MEKONG-PACK","742","0.18","0.18","N","Purchasing Manager",""
"PO-0130","PR-0124","PLAN-012","2026-06-09","SEN-HUM-02","V-FUTURE-SENSOR","455","15.904","14.2","N","Purchasing Manager",""
"PO-0131","PR-0125","PLAN-013","2026-06-17","SCR-M2-04","V-ORBIT-PARTS","3000","0.025","0.025","N","Purchasing Manager",""
"PO-0132","PR-0126","PLAN-013","2026-06-14","PKG-CTN-7","V-MEKONG-PACK","638","0.82","0.82","N","Purchasing Manager",""
"PO-0133","PR-0127","PLAN-013","2026-06-15","PCB-MAIN-01","V-NOVA-PCB","339","18.5","18.5","N","Purchasing Manager",""
"PO-0134","PR-0128","PLAN-013","2026-06-16","PWR-ADP-12V","V-ORBIT-PARTS","339","6.9","6.9","N","Purchasing Manager",""
"PO-0135","PR-0129","PLAN-013","2026-06-17","CAS-AL-2","V-ALPHA-CASING","440","7.1","7.1","N","Purchasing Manager",""
"PO-0136","PR-0130","PLAN-013","2026-06-14","PWR-CAB-USB","V-ORBIT-PARTS","339","1.25","1.25","N","Purchasing Manager",""
"PO-0137","PR-0131","PLAN-013","2026-06-15","PKG-LBL-QC","V-MEKONG-PACK","438","0.18","0.18","N","Purchasing Manager",""
"PO-0138","PR-0132","PLAN-013","2026-06-16","SCR-M2-04","V-ORBIT-PARTS","2179","0.025","0.025","N","Purchasing Manager",""
"PO-0139","PR-0133","PLAN-013","2026-06-17","PKG-CTN-7","V-MEKONG-PACK","249","0.82","0.82","N","Purchasing Manager","split delivery slot"
"PO-0140","PR-0133","PLAN-013","2026-06-14","PKG-CTN-7","V-MEKONG-PACK","248","0.82","0.82","N","Purchasing Manager","split delivery slot"
"PO-0141","PR-0134","PLAN-014","2026-06-22","PCB-MAIN-01","V-NOVA-PCB","526","18.5","18.5","N","Purchasing Manager",""
"PO-0142","PR-0135","PLAN-014","2026-06-23","PWR-ADP-12V","V-ORBIT-PARTS","526","6.9","6.9","N","Purchasing Manager",""
